Date,Open,High,Low,Close,Adj Close,Volume
18-10-2021,143.449997,146.839996,143.160004,146.550003,145.733383,85589200
19-10-2021,147.009995,149.169998,146.550003,148.759995,147.931061,76378900
20-10-2021,148.699997,149.75,148.119995,149.259995,148.428268,58418800
21-10-2021,148.809998,149.639999,147.869995,149.479996,148.647049,61421000
22-10-2021,149.690002,150.179993,148.639999,148.690002,147.86145,58883400
25-10-2021,148.679993,149.369995,147.619995,148.639999,147.811722,50720600
26-10-2021,149.330002,150.839996,149.009995,149.320007,148.487946,60893400
27-10-2021,149.360001,149.729996,148.490005,148.850006,148.020554,56094900
28-10-2021,149.820007,153.169998,149.720001,152.570007,151.719833,100077900
29-10-2021,147.220001,149.940002,146.410004,149.800003,148.965271,124953200
01-11-2021,148.990005,149.699997,147.800003,148.960007,148.129959,74588300
02-11-2021,148.660004,151.570007,148.649994,150.020004,149.184052,69122000
03-11-2021,150.389999,151.970001,149.820007,151.490005,150.645844,54511500
04-11-2021,151.580002,152.429993,150.639999,150.960007,150.118805,60394600
05-11-2021,151.889999,152.199997,150.059998,151.279999,150.65657,65463900
08-11-2021,151.410004,151.570007,150.160004,150.440002,149.820038,55020900
09-11-2021,150.199997,151.429993,150.059998,150.809998,150.188507,56787900
10-11-2021,150.020004,150.130005,147.850006,147.919998,147.310425,65187100
11-11-2021,148.960007,149.429993,147.679993,147.869995,147.26062,41000000
12-11-2021,148.429993,150.399994,147.479996,149.990005,149.371887,63804000
15-11-2021,150.369995,151.880005,149.429993,150,149.381836,59222800
16-11-2021,149.940002,151.490005,149.339996,151,150.377731,59256200
17-11-2021,151,155,150.990005,153.490005,152.857468,88807000
18-11-2021,153.710007,158.669998,153.050003,157.869995,157.219406,137827700
19-11-2021,157.649994,161.020004,156.529999,160.550003,159.888382,117305600
22-11-2021,161.679993,165.699997,161,161.020004,160.35643,117467900
23-11-2021,161.119995,161.800003,159.059998,161.410004,160.744827,96041900
24-11-2021,160.75,162.139999,159.639999,161.940002,161.272644,69463600
26-11-2021,159.570007,160.449997,156.360001,156.809998,156.163788,76959800
29-11-2021,159.369995,161.190002,158.789993,160.240005,159.579651,88748200
30-11-2021,159.990005,165.520004,159.919998,165.300003,164.618805,174048100
